,symbol,datetime,open,high,low,close
65,NOK,2022-04-06 04:00:00,5.46,5.465,5.355,5.41
66,NOK,2022-04-07 04:00:00,5.43,5.45,5.35,5.44
67,NOK,2022-04-08 04:00:00,5.41,5.45,5.36,5.37
68,NOK,2022-04-11 04:00:00,5.33,5.36,5.28,5.29
69,NOK,2022-04-12 04:00:00,5.27,5.3095,5.15,5.18
70,NOK,2022-04-13 04:00:00,5.22,5.25,5.18,5.25
71,NOK,2022-04-14 04:00:00,5.24,5.265,5.1,5.11
72,NOK,2022-04-18 04:00:00,5.07,5.13,5.03,5.1
73,NOK,2022-04-19 04:00:00,5.15,5.23,5.14,5.2
74,NOK,2022-04-20 04:00:00,5.33,5.35,5.29,5.33
75,NOK,2022-04-21 04:00:00,5.4,5.41,5.27,5.27
76,NOK,2022-04-22 04:00:00,5.28,5.28,5.12,5.14
77,NOK,2022-04-25 04:00:00,5.12,5.22,5.08,5.21
78,NOK,2022-04-26 04:00:00,5.21,5.22,5.08,5.09
79,NOK,2022-04-27 04:00:00,5.07,5.11,5.0,5.04
80,NOK,2022-04-28 04:00:00,5.03,5.04,4.753,4.9
81,NOK,2022-04-29 04:00:00,5.06,5.12,5.03,5.04
82,NOK,2022-05-02 04:00:00,4.97,5.14,4.96,5.13
83,NOK,2022-05-03 04:00:00,5.14,5.28,5.13,5.23
84,NOK,2022-05-04 04:00:00,5.19,5.34,5.16,5.33
85,NOK,2022-05-05 04:00:00,5.18,5.22,5.07,5.11
86,NOK,2022-05-06 04:00:00,5.04,5.05,4.935,4.96
87,NOK,2022-05-09 04:00:00,4.85,4.89,4.76,4.78
88,NOK,2022-05-10 04:00:00,4.84,4.86,4.73,4.81
89,NOK,2022-05-11 04:00:00,4.8,4.89,4.69,4.69
90,NOK,2022-05-12 04:00:00,4.63,4.7175,4.58,4.67
91,NOK,2022-05-13 04:00:00,4.79,4.91,4.79,4.88
92,NOK,2022-05-16 04:00:00,4.88,4.92,4.84,4.88
93,NOK,2022-05-17 04:00:00,4.96,5.05,4.95,5.04
94,NOK,2022-05-18 04:00:00,5.0,5.02,4.83,4.86
95,NOK,2022-05-19 04:00:00,4.77,4.87,4.73,4.8
96,NOK,2022-05-20 04:00:00,4.88,4.9,4.72,4.83
97,NOK,2022-05-23 04:00:00,4.88,4.96,4.84,4.93
98,NOK,2022-05-24 04:00:00,4.9,4.93,4.855,4.9
99,NOK,2022-05-25 04:00:00,4.88,4.96,4.86,4.93
100,NOK,2022-05-26 04:00:00,4.94,5.11,4.94,5.09
101,NOK,2022-05-27 04:00:00,5.1,5.15,5.07,5.14
102,NOK,2022-05-31 04:00:00,5.04,5.07,4.99,5.01
103,NOK,2022-06-01 04:00:00,5.01,5.04,4.92,4.97
104,NOK,2022-06-02 04:00:00,4.99,5.09,4.96,5.09
